CASEID,PARTID,PARTTYPE,LENGTH,WIDTH,HEIGHT,TRACKWIDTH,WHEELBASE,FRONTAXLEX,WEIGHT,COGX,COGY,COGZ,IXX,IYY,IZZ
1,1,0,4.545,1.772,1.428,1.528,2.65,1.125,1450,0,0,0.714,2.2162E+18,664.8607,2.2162E+18
1,2,1,0.5,0.8,1.75,99999,99999,0.2,60,0,0,0.4,99999,99999,99999
